               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094815,              0.0857,            0.019937,             0.37447,             0.60535,             0.40789,            0.069026,            0.066782,            0.080926,            0.017339,             0.09208,               8e-05,               8e-05
                   1,            0.066817,             0.07712,            0.016593,             0.20013,             0.31746,             0.31637,             0.05992,            0.065979,            0.074362,            0.016014,             0.08317,          0.00016983,          0.00016983
                   2,            0.057832,             0.05858,            0.016311,             0.48062,             0.68317,             0.61225,             0.20606,            0.055458,            0.072103,            0.016348,            0.074259,          0.00025948,          0.00025948
                   3,             0.05556,            0.054086,            0.016121,             0.27859,             0.55202,             0.38002,              0.1077,             0.05534,            0.073759,             0.01513,            0.065349,          0.00034895,          0.00034895
                   4,             0.05005,            0.053654,            0.015851,             0.36144,              0.4127,              0.5345,             0.25012,            0.049096,            0.066152,            0.013751,            0.056438,          0.00043824,          0.00043824
                   5,             0.04711,            0.054879,            0.015224,             0.46465,             0.90457,             0.83408,             0.41978,            0.037714,            0.064879,            0.013255,            0.047527,          0.00052735,          0.00052735
                   6,            0.049234,            0.049134,            0.015148,             0.41483,             0.90854,             0.73177,             0.28354,            0.039088,            0.090763,            0.012478,            0.038616,          0.00061628,          0.00061628
                   7,             0.04257,            0.044942,            0.015054,             0.33462,             0.86585,             0.61927,             0.23835,            0.036508,             0.10293,            0.012804,            0.029705,          0.00070503,          0.00070503
                   8,            0.039851,            0.047404,            0.015084,             0.43543,             0.95377,             0.83199,             0.43161,            0.034584,            0.061272,            0.012444,            0.020794,           0.0007936,           0.0007936
                   9,            0.039339,            0.051997,            0.014703,              0.5662,             0.94144,             0.87725,             0.40809,            0.030581,            0.056156,            0.011987,            0.011882,          0.00088199,          0.00088199
                  10,            0.041286,            0.047584,            0.014785,             0.56438,             0.94662,             0.80011,             0.41934,            0.034621,            0.059812,            0.011569,           0.0029702,           0.0009702,           0.0009702
                  11,            0.039326,            0.042567,            0.014269,             0.61625,             0.95456,             0.93732,             0.57582,            0.029825,             0.04263,            0.011644,            0.000989,            0.000989,            0.000989
                  12,            0.035664,            0.039958,            0.014146,             0.63029,             0.95808,             0.94336,             0.55905,            0.029495,            0.040506,            0.011263,            0.000989,            0.000989,            0.000989
                  13,             0.03653,            0.040152,            0.014502,             0.66748,             0.96767,             0.95312,             0.62797,            0.023591,            0.033874,            0.011425,            0.000988,            0.000988,            0.000988
                  14,            0.035183,            0.041887,            0.014247,             0.58694,             0.97469,             0.88241,             0.52761,            0.027814,            0.037093,            0.011211,            0.000987,            0.000987,            0.000987
                  15,            0.037927,            0.044339,            0.014727,             0.65894,             0.97913,             0.96022,             0.57551,            0.027923,            0.037068,            0.010925,            0.000986,            0.000986,            0.000986
                  16,            0.034005,             0.04396,            0.014009,              0.6261,             0.99603,             0.95539,              0.6543,            0.024432,            0.035971,            0.010822,            0.000985,            0.000985,            0.000985
                  17,            0.031147,            0.045634,            0.013738,             0.65209,             0.99298,             0.95709,             0.69785,            0.024199,             0.03425,            0.010465,            0.000984,            0.000984,            0.000984
                  18,            0.029934,            0.040813,            0.013845,             0.67028,             0.99603,             0.96379,             0.71061,             0.02013,            0.029835,            0.010541,            0.000983,            0.000983,            0.000983
